"Time stamp","Interruptor Principal   (A)","Lavaloza   (A)","Tablero A   (A)","Tablero B   (A)","Tablero C   (A)","Tablero D   (A)","Tablero E   (A)"
"2019-11-01 00:00","27.54","0.0","0.0","25.12","0.0","1.85","0.0"
"2019-11-01 00:15","26.82","0.0","0.0","24.37","0.0","1.9","0.0"
"2019-11-01 00:30","29.24","0.0","0.0","26.45","0.0","1.58","0.0"
"2019-11-01 00:45","32.19","0.0","0.0","30.13","0.0","0.834","0.0"
"2019-11-01 01:00","33.28","0.0","0.0","30.87","0.498","1.04","0.0"
"2019-11-01 01:15","26.37","0.0","0.0","23.41","1.57","1.58","0.0"
"2019-11-01 01:30","32.1","0.0","0.0","29.31","1.02","1.74","0.0"
"2019-11-01 01:45","25.43","0.0","0.0","22.51","1.49","1.85","0.0"
"2019-11-01 02:00","39.04","0.0","0.0","34.85","4.13","0.823","0.0"
"2019-11-01 02:15","24.53","0.0","0.0","21.19","4.55","1.03","0.0"
"2019-11-01 02:30","28.69","0.0","0.0","24.72","2.97","1.57","0.0"
"2019-11-01 02:45","24.25","0.0","0.0","21.06","2.01","1.57","0.0"
"2019-11-01 03:00","30.15","0.0","0.0","27.46","0.0","1.91","0.0"
"2019-11-01 03:15","22.93","0.0","0.0","20.16","2.72","0.827","0.0"
"2019-11-01 03:30","28.18","0.0","0.0","25.8","0.525","1.05","0.0"
"2019-11-01 03:45","24.18","0.0","0.0","21.84","0.0","1.86","0.0"
"2019-11-01 04:00","28.39","0.0","0.0","25.94","0.0","1.88","0.0"
"2019-11-01 04:15","22.53","0.0","0.0","20.29","0.0","1.61","0.0"
"2019-11-01 04:30","31.76","0.0","0.0","29.09","2.15","0.539","0.0"
"2019-11-01 04:45","33.56","0.0","0.0","30.0","4.22","1.44","0.0"
"2019-11-01 05:00","28.97","0.0","0.0","26.54","0.0","1.88","0.0"
"2019-11-01 05:15","24.61","0.0","0.0","22.4","0.0","1.83","0.0"
"2019-11-01 05:30","24.92","0.0","0.0","23.01","0.0","0.547","0.0"
"2019-11-01 05:45","27.7","0.0","0.0","25.37","0.0","1.28","0.0"
"2019-11-01 06:00","25.98","0.0","0.0","23.64","0.0","1.55","0.0"
"2019-11-01 06:15","26.69","0.0","0.0","24.14","0.0","1.56","0.0"
"2019-11-01 06:30","29.93","0.0","1.16","26.99","0.0","0.54","0.0"
"2019-11-01 06:45","32.37","0.0","6.11","24.77","0.0","1.04","0.0"
"2019-11-01 07:00","49.17","0.0","6.07","18.43","7.05","1.84","0.0"
"2019-11-01 07:15","47.84","0.0","6.14","10.79","17.09","1.83","0.0"
"2019-11-01 07:30","52.38","0.0","6.51","14.41","18.95","1.33","0.0"
"2019-11-01 07:45","49.96","0.0","10.05","14.51","11.71","0.807","0.0"
"2019-11-01 08:00","48.15","0.0","11.66","7.5","4.11","1.55","0.0"
"2019-11-01 08:15","74.09","0.0","11.63","15.75","2.94","1.87","0.0"
"2019-11-01 08:30","47.43","0.0","11.88","7.63","3.73","1.7","0.0"
"2019-11-01 08:45","42.74","0.0","11.94","4.44","4.31","1.06","0.0"
"2019-11-01 09:00","36.58","0.0","10.22","4.67","3.02","0.806","0.0"
"2019-11-01 09:15","43.18","0.0","9.1","4.64","4.42","1.54","0.0"
"2019-11-01 09:30","38.16","0.0","10.28","4.9","2.68","1.57","0.0"
"2019-11-01 09:45","53.59","0.0","11.08","19.97","7.53","1.87","0.0"
"2019-11-01 10:00","54.91","0.0","11.27","22.36","7.74","1.62","0.0"
"2019-11-01 10:15","57.59","0.0","10.95","20.23","3.56","1.09","0.0"
"2019-11-01 10:30","62.03","0.0","11.19","16.4","5.77","1.04","0.0"
"2019-11-01 10:45","61.05","0.0","11.43","15.09","4.62","1.62","0.0"
"2019-11-01 11:00","61.81","0.0","11.42","15.99","12.19","1.9","0.0"
"2019-11-01 11:15","62.45","0.0","11.2","18.52","3.37","1.89","0.0"
"2019-11-01 11:30","59.73","0.0","11.16","16.57","6.94","1.87","0.0"
"2019-11-01 11:45","65.75","0.0","11.32","18.64","4.93","1.36","0.0"
"2019-11-01 12:00","72.89","0.0","11.26","12.78","7.44","1.09","0.0"
"2019-11-01 12:15","136.78","0.0","11.28","14.77","9.88","1.38","79.62"
"2019-11-01 12:30","175.59","5.68","11.25","16.3","5.54","1.66","77.36"
"2019-11-01 12:45","259.3","70.7","11.2","14.09","6.64","1.67","60.61"
"2019-11-01 13:00","195.38","5.62","11.42","17.36","5.93","1.91","59.6"
"2019-11-01 13:15","200.74","26.94","11.38","20.27","6.63","1.97","63.48"
"2019-11-01 13:30","165.18","10.86","11.32","16.49","5.38","1.98","64.3"
"2019-11-01 13:45","215.32","54.63","11.61","17.42","4.0","1.69","63.96"
"2019-11-01 14:00","157.34","11.28","11.39","18.63","4.65","1.97","64.44"
"2019-11-01 14:15","204.53","39.28","11.46","18.22","3.7","1.71","59.0"
"2019-11-01 14:30","214.8","26.11","11.52","19.66","5.09","1.7","58.43"
"2019-11-01 14:45","196.44","27.09","11.36","18.25","4.55","1.99","62.8"
"2019-11-01 15:00","211.3","55.66","10.92","17.9","5.06","1.75","63.73"
"2019-11-01 15:15","201.86","46.7","11.47","19.76","5.28","2.03","64.61"
"2019-11-01 15:30","208.69","60.9","11.11","16.9","4.82","2.02","63.79"
"2019-11-01 15:45","149.48","22.38","11.08","17.17","4.51","2.05","61.41"
"2019-11-01 16:00","240.13","54.02","11.1","13.2","6.43","2.04","59.62"
"2019-11-01 16:15","191.35","37.51","11.14","16.01","4.24","1.73","59.66"
"2019-11-01 16:30","200.06","32.37","11.46","21.55","3.77","1.74","63.9"
"2019-11-01 16:45","125.46","0.0","11.45","23.14","5.88","1.74","63.16"
"2019-11-01 17:00","104.63","0.0","10.73","15.52","6.1","2.02","63.79"
"2019-11-01 17:15","115.88","0.0","10.36","20.87","4.36","2.0","61.6"
"2019-11-01 17:30","234.3","71.37","10.39","10.54","5.36","1.69","55.93"
"2019-11-01 17:45","208.93","70.67","10.43","19.14","3.5","1.69","60.58"
"2019-11-01 18:00","148.08","8.54","10.39","8.32","3.55","1.67","63.1"
"2019-11-01 18:15","215.44","55.81","10.35","17.72","4.5","1.69","63.43"
"2019-11-01 18:30","202.99","52.38","10.28","12.44","4.24","1.83","59.08"
"2019-11-01 18:45","216.14","65.1","10.45","19.85","4.49","1.94","57.37"
"2019-11-01 19:00","229.93","55.43","10.77","10.29","4.29","2.24","61.72"
"2019-11-01 19:15","218.52","64.97","11.21","17.48","4.25","1.65","62.65"
"2019-11-01 19:30","206.02","70.63","11.2","10.93","4.04","1.65","63.22"
"2019-11-01 19:45","166.51","32.38","11.03","14.75","3.47","1.64","60.31"
"2019-11-01 20:00","150.09","24.64","10.79","11.1","3.87","1.49","55.46"
"2019-11-01 20:15","103.34","0.0","10.5","13.0","3.18","1.34","61.74"
"2019-11-01 20:30","63.61","0.0","8.25","7.7","1.22","1.57","45.45"
"2019-11-01 20:45","27.93","0.0","6.31","10.53","0.0","1.85","11.31"
"2019-11-01 21:00","15.27","0.0","6.26","7.48","0.0","1.86","0.0"
"2019-11-01 21:15","17.39","0.0","6.25","9.53","0.0","1.85","0.0"
"2019-11-01 21:30","13.69","0.0","6.29","6.27","0.0","1.06","0.0"
"2019-11-01 21:45","14.45","0.0","2.05","11.25","0.0","0.92","0.0"
"2019-11-01 22:00","11.81","0.0","0.0","9.81","0.0","1.57","0.0"
"2019-11-01 22:15","14.44","0.0","0.0","12.34","0.0","1.57","0.0"
"2019-11-01 22:30","15.82","0.0","0.0","13.59","0.0","1.88","0.0"
"2019-11-01 22:45","15.16","0.0","0.0","13.28","0.0","1.33","0.0"
"2019-11-01 23:00","7.41","0.0","0.0","6.16","0.0","0.926","0.0"
"2019-11-01 23:15","16.49","0.0","0.0","14.59","0.0","1.28","0.0"
"2019-11-01 23:30","7.35","0.0","0.0","5.59","0.0","1.81","0.0"
"2019-11-01 23:45","13.68","0.0","0.0","11.89","0.0","1.83","0.0"
"2019-11-02 00:00","7.33","0.0","0.0","5.54","0.0","1.58","0.0"
"2019-11-02 00:15","12.53","0.0","0.0","11.12","0.0","0.809","0.0"
"2019-11-02 00:30","6.99","0.0","0.0","5.37","0.0","1.28","0.0"
"2019-11-02 00:45","11.92","0.0","0.0","9.89","0.0","1.83","0.0"
"2019-11-02 01:00","8.98","0.0","0.0","7.09","0.0","1.84","0.0"
"2019-11-02 01:15","6.97","0.0","0.0","5.5","0.0","1.06","0.0"
"2019-11-02 01:30","10.93","0.0","0.0","9.76","0.0","0.751","0.0"
"2019-11-02 01:45","6.24","0.0","0.0","4.4","0.0","1.85","0.0"
"2019-11-02 02:00","14.74","0.0","0.0","12.7","0.0","1.85","0.0"
"2019-11-02 02:15","6.8","0.0","0.0","5.17","0.0","1.31","0.0"
"2019-11-02 02:30","13.01","0.0","0.0","11.74","0.0","0.813","0.0"
"2019-11-02 02:45","7.12","0.0","0.0","5.42","0.0","1.54","0.0"
"2019-11-02 03:00","11.27","0.0","0.0","9.42","0.0","1.43","0.0"
"2019-11-02 03:15","11.4","0.0","0.0","9.49","0.0","1.57","0.0"
"2019-11-02 03:30","5.19","0.0","0.0","4.29","0.0","0.54","0.0"
"2019-11-02 03:45","10.23","0.0","0.0","8.31","0.0","1.54","0.0"
"2019-11-02 04:00","11.72","0.0","0.0","9.75","0.0","1.84","0.0"
"2019-11-02 04:15","14.86","0.0","0.0","12.99","0.0","1.31","0.0"
"2019-11-02 04:30","15.09","0.0","0.0","13.6","0.0","0.564","0.0"
"2019-11-02 04:45","11.58","0.0","0.0","9.7","0.0","1.55","0.0"
"2019-11-02 05:00","9.12","0.0","0.0","7.17","0.0","1.82","0.0"
"2019-11-02 05:15","12.76","0.0","0.0","10.87","0.0","1.3","0.0"
"2019-11-02 05:30","8.9","0.0","0.0","7.81","0.0","0.374","0.0"
"2019-11-02 05:45","10.62","0.0","0.0","8.88","0.0","1.82","0.0"
"2019-11-02 06:00","10.99","0.0","0.0","9.02","0.0","1.85","0.0"
"2019-11-02 06:15","9.57","0.0","0.0","7.99","0.0","1.04","0.0"
"2019-11-02 06:30","5.38","0.0","0.0","4.32","0.0","0.496","0.0"
"2019-11-02 06:45","12.2","0.0","0.0","10.21","0.0","1.78","0.0"
"2019-11-02 07:00","8.76","0.0","0.0","6.88","0.0","1.82","0.0"
"2019-11-02 07:15","10.15","0.0","0.0","8.9","0.0","0.532","0.0"
"2019-11-02 07:30","9.79","0.0","0.0","8.44","0.0","1.27","0.0"
"2019-11-02 07:45","9.93","0.0","0.0","7.98","0.0","1.84","0.0"
"2019-11-02 08:00","12.82","0.0","0.0","10.89","0.0","1.52","0.0"
"2019-11-02 08:15","10.03","0.0","2.51","6.4","0.0","0.558","0.0"
"2019-11-02 08:30","56.75","0.0","6.61","11.14","1.31","1.53","0.0"
"2019-11-02 08:45","60.33","0.0","7.07","5.42","5.21","1.54","0.0"
"2019-11-02 09:00","83.08","0.0","10.14","18.76","20.64","1.59","0.0"
"2019-11-02 09:15","68.93","0.0","9.41","6.24","14.25","0.802","0.0"
"2019-11-02 09:30","63.26","0.0","11.54","14.26","3.23","1.29","0.0"
"2019-11-02 09:45","46.57","0.0","11.43","12.59","6.8","1.86","0.0"
"2019-11-02 10:00","54.95","0.0","11.41","16.18","4.59","1.58","0.0"
"2019-11-02 10:15","88.76","0.0","11.28","31.89","4.34","1.61","0.0"
"2019-11-02 10:30","107.22","0.0","11.37","33.99","3.85","1.1","0.0"
"2019-11-02 10:45","86.06","0.0","11.43","34.97","3.39","1.05","0.0"
"2019-11-02 11:00","126.78","0.0","11.55","35.39","4.21","1.94","0.0"
"2019-11-02 11:15","109.06","0.0","11.45","34.51","4.7","1.92","0.0"
"2019-11-02 11:30","102.92","0.0","11.32","33.2","7.65","1.67","0.0"
"2019-11-02 11:45","102.14","0.0","11.17","26.49","5.61","1.94","0.0"
"2019-11-02 12:00","188.94","22.52","11.28","35.41","6.3","1.42","0.0"
"2019-11-02 12:15","162.46","22.39","11.21","34.82","10.67","1.41","0.0"
"2019-11-02 12:30","118.32","0.0","11.11","38.08","4.92","1.68","0.0"
"2019-11-02 12:45","186.33","50.42","11.17","32.66","3.92","2.26","0.0"
"2019-11-02 13:00","113.78","5.54","11.1","27.55","4.5","2.98","23.55"
"2019-11-02 13:15","179.46","0.0","11.25","30.44","4.47","2.57","80.27"
"2019-11-02 13:30","214.85","22.55","11.16","31.59","4.64","2.52","62.91"
"2019-11-02 13:45","144.94","0.0","11.01","29.17","6.0","1.96","61.59"
"2019-11-02 14:00","145.74","0.0","11.56","28.93","4.31","1.99","54.77"
"2019-11-02 14:15","175.28","16.84","11.48","32.27","4.63","1.39","58.63"
"2019-11-02 14:30","214.1","14.79","11.71","29.71","3.4","1.13","61.76"
"2019-11-02 14:45","296.0","75.35","11.66","32.31","4.56","1.42","62.06"
"2019-11-02 15:00","204.75","20.24","11.55","36.03","6.82","1.67","56.88"
"2019-11-02 15:15","235.99","50.89","11.65","33.12","5.82","1.98","56.86"
"2019-11-02 15:30","286.74","61.4","11.5","36.74","5.65","1.98","62.17"
"2019-11-02 15:45","228.26","32.43","11.31","32.37","5.72","1.95","61.97"
"2019-11-02 16:00","266.36","41.57","11.35","29.49","5.35","1.66","59.59"
"2019-11-02 16:15","160.41","11.32","11.38","32.23","4.57","1.67","54.41"
"2019-11-02 16:30","203.6","44.78","11.46","36.47","3.84","1.16","61.99"
"2019-11-02 16:45","234.56","43.02","11.24","34.6","6.69","1.1","62.69"
"2019-11-02 17:00","253.16","62.67","10.72","29.57","5.52","1.38","59.75"
"2019-11-02 17:15","249.37","57.16","10.54","37.39","7.39","1.78","54.03"
"2019-11-02 17:30","254.94","76.84","10.38","25.14","7.08","1.94","62.08"
"2019-11-02 17:45","245.22","70.14","10.41","34.25","5.96","1.97","61.79"
"2019-11-02 18:00","146.46","5.61","10.3","31.47","5.68","1.92","59.04"
"2019-11-02 18:15","120.44","0.0","10.58","32.99","4.21","1.43","53.41"
"2019-11-02 18:30","161.21","0.0","10.59","28.55","4.8","1.1","61.79"
"2019-11-02 18:45","201.59","64.02","10.05","32.81","4.63","1.33","61.34"
"2019-11-02 19:00","217.17","78.86","10.31","24.76","3.4","1.94","59.3"
"2019-11-02 19:15","166.82","51.09","10.27","32.96","3.58","1.93","53.54"
"2019-11-02 19:30","175.28","34.26","10.27","25.66","5.76","1.89","61.53"
"2019-11-02 19:45","194.07","55.23","10.32","31.76","5.38","1.66","61.51"
"2019-11-02 20:00","206.88","72.1","10.34","25.48","3.92","1.11","57.95"
"2019-11-02 20:15","220.98","84.6","10.38","30.02","4.18","1.06","55.54"
"2019-11-02 20:30","208.1","85.14","10.4","23.86","4.0","1.61","61.72"
"2019-11-02 20:45","145.91","59.94","10.3","37.48","5.88","1.88","17.29"
"2019-11-02 21:00","54.18","0.0","8.54","31.54","4.21","1.93","0.0"
"2019-11-02 21:15","39.36","0.0","6.35","31.44","0.502","0.82","0.0"
"2019-11-02 21:30","28.13","0.0","6.27","20.54","0.0","0.792","0.0"
"2019-11-02 21:45","34.42","0.0","6.19","26.33","0.0","1.87","0.0"
"2019-11-02 22:00","30.52","0.0","5.04","23.83","0.0","1.58","0.0"
"2019-11-02 22:15","29.89","0.0","0.0","27.42","0.0","1.9","0.0"
"2019-11-02 22:30","31.54","0.0","0.0","29.48","0.0","0.826","0.0"
"2019-11-02 22:45","30.55","0.0","0.0","28.46","0.0","0.895","0.0"
"2019-11-02 23:00","24.92","0.0","0.0","22.3","0.0","1.83","0.0"
"2019-11-02 23:15","28.58","0.0","0.0","26.04","0.0","1.89","0.0"
"2019-11-02 23:30","27.93","0.0","0.0","24.64","2.09","1.35","0.0"
"2019-11-02 23:45","33.97","0.0","0.0","31.07","2.07","0.507","0.0"
"2019-11-03 00:00","25.45","0.0","0.0","23.04","0.0","1.88","0.0"
"2019-11-03 00:15","27.19","0.0","0.0","24.77","0.0","1.84","0.0"
"2019-11-03 00:30","22.55","0.0","0.0","20.28","0.0","1.32","0.0"
"2019-11-03 00:45","28.36","0.0","0.0","26.56","0.0","0.377","0.0"
"2019-11-03 01:00","26.61","0.0","0.0","24.17","0.519","1.84","0.0"
"2019-11-03 01:15","26.62","0.0","0.0","23.95","2.01","1.56","0.0"
"2019-11-03 01:30","27.16","0.0","0.0","25.09","1.01","1.08","0.0"
"2019-11-03 01:45","22.91","0.0","0.0","21.0","0.464","0.766","0.0"
"2019-11-03 02:00","28.76","0.0","0.0","25.77","1.06","1.86","0.0"
"2019-11-03 02:15","24.57","0.0","0.0","20.58","6.06","1.8","0.0"
"2019-11-03 02:30","37.95","0.0","0.0","34.3","4.12","0.277","0.0"
"2019-11-03 02:45","21.01","0.0","0.0","18.74","0.478","1.57","0.0"
"2019-11-03 03:00","19.69","0.0","0.0","17.37","0.513","1.83","0.0"
"2019-11-03 03:15","15.79","0.0","0.0","13.28","2.3","0.789","0.0"
"2019-11-03 03:30","14.19","0.0","0.0","12.29","0.52","0.885","0.0"
"2019-11-03 03:45","20.53","0.0","0.0","18.26","0.0","1.82","0.0"
"2019-11-03 04:00","19.98","0.0","0.0","17.7","0.0","1.58","0.0"
"2019-11-03 04:15","18.21","0.0","0.0","16.81","0.0","0.252","0.0"
"2019-11-03 04:30","17.17","0.0","0.0","15.05","0.0","1.53","0.0"
"2019-11-03 04:45","12.06","0.0","0.0","10.09","0.0","1.78","0.0"
"2019-11-03 05:00","13.14","0.0","0.0","11.8","0.0","0.27","0.0"
"2019-11-03 05:15","19.54","0.0","0.0","17.56","0.0","1.53","0.0"
"2019-11-03 05:30","9.51","0.0","0.0","7.32","0.518","1.79","0.0"
"2019-11-03 05:45","11.53","0.0","0.0","10.17","0.0","0.79","0.0"
"2019-11-03 06:00","8.48","0.0","0.0","6.97","0.0","0.977","0.0"
"2019-11-03 06:15","12.15","0.0","0.0","10.13","0.0","1.81","0.0"
"2019-11-03 06:30","6.1","0.0","0.0","4.86","0.0","0.773","0.0"
"2019-11-03 06:45","7.48","0.0","0.0","6.08","0.0","0.969","0.0"
"2019-11-03 07:00","14.95","0.0","0.0","13.09","0.0","1.78","0.0"
"2019-11-03 07:15","6.89","0.0","0.0","5.6","0.0","0.775","0.0"
"2019-11-03 07:30","12.17","0.0","0.0","10.72","0.0","0.877","0.0"
"2019-11-03 07:45","8.71","0.0","0.0","6.86","0.0","1.52","0.0"
"2019-11-03 08:00","8.54","0.0","0.0","7.23","0.509","0.534","0.0"
"2019-11-03 08:15","10.86","0.0","1.65","7.89","0.0","1.25","0.0"
"2019-11-03 08:30","35.56","0.0","6.53","8.9","1.04","1.77","0.0"
"2019-11-03 08:45","85.35","0.0","6.79","13.63","2.17","0.535","0.0"
"2019-11-03 09:00","71.38","0.0","6.68","13.27","4.67","1.27","0.0"
"2019-11-03 09:15","79.28","0.0","6.46","14.19","9.92","1.82","0.0"
"2019-11-03 09:30","68.03","0.0","6.29","6.14","11.92","1.31","0.0"
"2019-11-03 09:45","76.44","0.0","9.58","13.01","5.34","0.266","0.0"
"2019-11-03 10:00","82.03","0.0","11.46","14.91","3.02","1.84","0.0"
"2019-11-03 10:15","64.12","0.0","11.34","13.21","2.71","1.85","0.0"
"2019-11-03 10:30","55.31","0.0","11.36","15.3","3.89","1.33","0.0"
"2019-11-03 10:45","58.71","0.0","11.13","17.24","11.63","0.51","0.0"
"2019-11-03 11:00","98.89","22.92","11.24","16.96","3.48","1.59","0.0"
"2019-11-03 11:15","78.62","0.0","11.05","7.78","8.11","1.89","0.0"
"2019-11-03 11:30","100.31","27.93","10.8","13.72","2.67","1.87","0.0"
"2019-11-03 11:45","62.25","0.0","11.2","8.36","3.42","1.08","0.0"
"2019-11-03 12:00","121.98","5.72","11.39","15.68","4.28","0.8","0.0"
"2019-11-03 12:15","166.86","37.89","11.45","13.46","8.08","1.46","0.0"
"2019-11-03 12:30","115.9","10.85","11.56","16.42","4.94","1.62","0.0"
"2019-11-03 12:45","109.35","0.0","11.43","10.28","5.27","1.89","0.0"
"2019-11-03 13:00","175.29","10.37","11.16","17.71","4.65","1.65","67.19"
"2019-11-03 13:15","183.24","21.31","11.11","9.67","5.87","1.65","61.19"
"2019-11-03 13:30","228.19","58.33","11.23","12.98","4.0","1.12","59.73"
"2019-11-03 13:45","275.98","83.41","11.32","14.68","4.29","1.39","63.12"
"2019-11-03 14:00","227.8","50.13","11.03","10.36","4.75","1.38","63.25"
"2019-11-03 14:15","219.4","36.98","10.79","17.04","4.58","1.97","63.29"
"2019-11-03 14:30","238.88","61.49","10.98","11.91","4.01","1.95","55.63"
"2019-11-03 14:45","231.83","48.58","11.23","14.68","3.46","1.94","58.13"
"2019-11-03 15:00","235.53","41.75","11.51","20.32","5.14","1.97","62.62"
"2019-11-03 15:15","236.51","36.44","11.33","18.74","6.96","1.97","63.23"
"2019-11-03 15:30","225.49","38.43","11.37","14.71","7.67","1.97","61.74"
"2019-11-03 15:45","212.77","43.53","11.2","12.49","4.03","1.98","55.09"
"2019-11-03 16:00","226.22","48.63","11.71","13.65","4.56","1.39","60.42"
"2019-11-03 16:15","249.92","59.25","11.9","16.28","5.49","1.4","63.14"
"2019-11-03 16:30","283.65","63.87","11.69","24.54","4.53","1.72","63.31"
"2019-11-03 16:45","221.55","48.32","11.18","25.3","3.85","1.4","57.38"
"2019-11-03 17:00","224.4","53.56","10.77","20.5","4.33","1.39","57.17"
"2019-11-03 17:15","194.82","39.09","10.82","12.14","4.65","1.95","62.88"
"2019-11-03 17:30","193.17","47.14","11.11","17.89","4.84","1.96","61.57"
"2019-11-03 17:45","189.1","22.42","10.98","7.97","4.41","1.93","48.14"
"2019-11-03 18:00","205.84","31.06","10.4","17.33","5.42","1.92","44.32"
"2019-11-03 18:15","185.16","44.24","10.37","8.19","5.91","1.91","51.74"
"2019-11-03 18:30","189.73","42.24","10.33","15.36","3.79","1.66","51.74"
"2019-11-03 18:45","181.64","52.39","10.34","13.2","3.6","1.11","47.84"
"2019-11-03 19:00","151.91","19.71","10.29","18.25","4.38","1.06","44.79"
"2019-11-03 19:15","167.42","26.74","10.18","16.93","3.62","1.62","51.57"
