"Time stamp","Tablero A   (kW)","OLG02 - CDMX Santa Fe - 204 temperatures (℃)"
"2019-05-01 00:00","0.0","14.8"
"2019-05-01 00:15","0.0","14.8"
"2019-05-01 00:30","0.0","14.8"
"2019-05-01 00:45","0.0","14.8"
"2019-05-01 01:00","0.0","14.8"
"2019-05-01 01:15","0.0","14.8"
"2019-05-01 01:30","0.0","14.8"
"2019-05-01 01:45","0.0","14.8"
"2019-05-01 02:00","0.0","14.29"
"2019-05-01 02:15","0.0","14.29"
"2019-05-01 02:30","0.0","14.29"
"2019-05-01 02:45","0.0","14.29"
"2019-05-01 03:00","0.0","12.47"
"2019-05-01 03:15","0.0","12.47"
"2019-05-01 03:30","0.0","12.47"
"2019-05-01 03:45","0.0","12.47"
"2019-05-01 04:00","0.0","11.14"
"2019-05-01 04:15","0.0","11.14"
"2019-05-01 04:30","0.0","11.14"
"2019-05-01 04:45","0.0","11.14"
"2019-05-01 05:00","0.0","11.14"
"2019-05-01 05:15","0.0","11.14"
"2019-05-01 05:30","0.0","11.14"
"2019-05-01 05:45","0.0","11.14"
"2019-05-01 06:00","0.0","10.27"
"2019-05-01 06:15","0.0","10.27"
"2019-05-01 06:30","0.0","10.27"
"2019-05-01 06:45","1.51","10.27"
"2019-05-01 07:00","2.25","9.38"
"2019-05-01 07:15","2.57","9.38"
"2019-05-01 07:30","3.35","9.38"
"2019-05-01 07:45","3.48","9.38"
"2019-05-01 08:00","3.33","12.14"
"2019-05-01 08:15","3.38","12.14"
"2019-05-01 08:30","3.46","12.14"
"2019-05-01 08:45","3.35","12.14"
"2019-05-01 09:00","3.45","14.17"
"2019-05-01 09:15","3.42","14.17"
"2019-05-01 09:30","3.53","14.17"
"2019-05-01 09:45","3.5","14.17"
"2019-05-01 10:00","3.63","17.56"
"2019-05-01 10:15","3.72","17.56"
"2019-05-01 10:30","3.76","17.56"
"2019-05-01 10:45","3.7","17.56"
"2019-05-01 11:00","3.75","20.46"
"2019-05-01 11:15","3.87","20.46"
"2019-05-01 11:30","3.83","20.46"
"2019-05-01 11:45","3.85","20.46"
"2019-05-01 12:00","3.89","23.56"
"2019-05-01 12:15","4.06","23.56"
"2019-05-01 12:30","4.11","23.56"
"2019-05-01 12:45","3.95","23.56"
"2019-05-01 13:00","4.08","25.63"
"2019-05-01 13:15","4.19","25.63"
"2019-05-01 13:30","4.17","25.63"
"2019-05-01 13:45","4.13","25.63"
"2019-05-01 14:00","4.1","26.97"
"2019-05-01 14:15","4.01","26.97"
"2019-05-01 14:30","4.11","26.97"
"2019-05-01 14:45","4.04","26.97"
"2019-05-01 15:00","4.07","28.02"
"2019-05-01 15:15","4.12","28.02"
"2019-05-01 15:30","4.14","28.02"
"2019-05-01 15:45","4.06","28.02"
"2019-05-01 16:00","4.1","28.82"
"2019-05-01 16:15","0.2687","28.82"
"2019-05-01 16:30","0.0","28.82"
"2019-05-01 16:45","0.0","28.82"
"2019-05-01 17:00","0.0","28.47"
"2019-05-01 17:15","0.0","28.47"
"2019-05-01 17:30","0.0","28.47"
"2019-05-01 17:45","0.0","28.47"
"2019-05-01 18:00","0.0","26.78"
"2019-05-01 18:15","0.0","26.78"
"2019-05-01 18:30","0.0","26.78"
"2019-05-01 18:45","0.0","26.78"
"2019-05-01 19:00","0.0","25.61"
"2019-05-01 19:15","0.0","25.61"
"2019-05-01 19:30","0.0","25.61"
"2019-05-01 19:45","0.0","25.61"
"2019-05-01 20:00","0.0","23.19"
"2019-05-01 20:15","0.0","23.19"
"2019-05-01 20:30","0.0","23.19"
"2019-05-01 20:45","0.0","23.19"
"2019-05-01 21:00","0.0","19.08"
"2019-05-01 21:15","0.3138","19.08"
"2019-05-01 21:30","2.37","19.08"
"2019-05-01 21:45","0.771","19.08"
"2019-05-01 22:00","0.0","17.56"
"2019-05-01 22:15","0.0","17.56"
"2019-05-01 22:30","0.0","17.56"
"2019-05-01 22:45","0.0","17.56"
"2019-05-01 23:00","0.0","16.85"
"2019-05-01 23:15","0.0","16.85"
"2019-05-01 23:30","0.0","16.85"
"2019-05-01 23:45","0.0","16.85"
"2019-05-02 00:00","0.0","16.5"
"2019-05-02 00:15","0.0","16.5"
"2019-05-02 00:30","0.0","16.5"
"2019-05-02 00:45","0.0","16.5"
"2019-05-02 01:00","0.0","16.49"
"2019-05-02 01:15","0.0","16.49"
"2019-05-02 01:30","0.0","16.49"
"2019-05-02 01:45","0.0","16.49"
"2019-05-02 02:00","0.0","16.17"
"2019-05-02 02:15","0.0","16.17"
"2019-05-02 02:30","0.0","16.17"
"2019-05-02 02:45","0.0","16.17"
"2019-05-02 03:00","0.0","15.48"
"2019-05-02 03:15","0.0","15.48"
"2019-05-02 03:30","0.0","15.48"
"2019-05-02 03:45","0.0","15.48"
"2019-05-02 04:00","0.0","15.77"
"2019-05-02 04:15","0.0","15.77"
"2019-05-02 04:30","0.0","15.77"
"2019-05-02 04:45","0.0","15.77"
"2019-05-02 05:00","0.0","15.08"
"2019-05-02 05:15","0.0","15.08"
"2019-05-02 05:30","0.0","15.08"
"2019-05-02 05:45","0.0","15.08"
"2019-05-02 06:00","0.0","14.41"
"2019-05-02 06:15","0.0","14.41"
"2019-05-02 06:30","0.0","14.41"
"2019-05-02 06:45","0.3118","14.41"
"2019-05-02 07:00","2.61","13.3"
"2019-05-02 07:15","2.59","13.3"
"2019-05-02 07:30","2.62","13.3"
"2019-05-02 07:45","3.75","13.3"
"2019-05-02 08:00","3.89","15.14"
"2019-05-02 08:15","3.81","15.14"
"2019-05-02 08:30","3.81","15.14"
"2019-05-02 08:45","3.67","15.14"
"2019-05-02 09:00","3.51","16.86"
"2019-05-02 09:15","3.6","16.86"
"2019-05-02 09:30","3.56","16.86"
"2019-05-02 09:45","3.56","16.86"
"2019-05-02 10:00","3.93","20.19"
"2019-05-02 10:15","3.93","20.19"
"2019-05-02 10:30","3.95","20.19"
"2019-05-02 10:45","4.05","20.19"
"2019-05-02 11:00","4.03","21.21"
"2019-05-02 11:15","3.96","21.21"
"2019-05-02 11:30","3.86","21.21"
"2019-05-02 11:45","3.85","21.21"
"2019-05-02 12:00","3.95","24.03"
"2019-05-02 12:15","3.97","24.03"
"2019-05-02 12:30","3.98","24.03"
"2019-05-02 12:45","4.18","24.03"
"2019-05-02 13:00","4.36","25.7"
"2019-05-02 13:15","4.27","25.7"
"2019-05-02 13:30","4.19","25.7"
"2019-05-02 13:45","4.26","25.7"
"2019-05-02 14:00","4.23","27.0"
"2019-05-02 14:15","4.17","27.0"
"2019-05-02 14:30","4.14","27.0"
"2019-05-02 14:45","4.08","27.0"
"2019-05-02 15:00","4.05","28.04"
"2019-05-02 15:15","4.11","28.04"
"2019-05-02 15:30","4.07","28.04"
"2019-05-02 15:45","4.04","28.04"
"2019-05-02 16:00","4.19","28.24"
"2019-05-02 16:15","4.07","28.24"
"2019-05-02 16:30","4.03","28.24"
"2019-05-02 16:45","4.05","28.24"
"2019-05-02 17:00","4.01","27.27"
"2019-05-02 17:15","4.07","27.27"
"2019-05-02 17:30","4.09","27.27"
"2019-05-02 17:45","4.07","27.27"
"2019-05-02 18:00","3.78","25.13"
"2019-05-02 18:15","3.73","25.13"
"2019-05-02 18:30","3.7","25.13"
"2019-05-02 18:45","3.75","25.13"
"2019-05-02 19:00","3.79","26.25"
"2019-05-02 19:15","3.78","26.25"
"2019-05-02 19:30","3.75","26.25"
"2019-05-02 19:45","3.68","26.25"
"2019-05-02 20:00","3.69","24.09"
"2019-05-02 20:15","3.67","24.09"
"2019-05-02 20:30","3.63","24.09"
"2019-05-02 20:45","3.61","24.09"
"2019-05-02 21:00","3.64","20.0"
"2019-05-02 21:15","1.45","20.0"
"2019-05-02 21:30","0.073","20.0"
"2019-05-02 21:45","0.0","20.0"
"2019-05-02 22:00","0.0","19.62"
"2019-05-02 22:15","0.0","19.62"
"2019-05-02 22:30","0.0","19.62"
"2019-05-02 22:45","0.0","19.62"
"2019-05-02 23:00","0.0","17.56"
"2019-05-02 23:15","0.0","17.56"
"2019-05-02 23:30","0.0","17.56"
"2019-05-02 23:45","0.0","17.56"
"2019-05-03 00:00","0.0","16.84"
"2019-05-03 00:15","0.0","16.84"
"2019-05-03 00:30","0.0","16.84"
"2019-05-03 00:45","0.0","16.84"
"2019-05-03 01:00","0.0","16.87"
"2019-05-03 01:15","0.0","16.87"
"2019-05-03 01:30","0.0","16.87"
"2019-05-03 01:45","0.0","16.87"
"2019-05-03 02:00","0.0","15.78"
"2019-05-03 02:15","0.0","15.78"
"2019-05-03 02:30","0.0","15.78"
"2019-05-03 02:45","0.0","15.78"
"2019-05-03 03:00","0.0","15.09"
"2019-05-03 03:15","0.0","15.09"
"2019-05-03 03:30","0.0","15.09"
"2019-05-03 03:45","0.0","15.09"
"2019-05-03 04:00","0.0","13.94"
"2019-05-03 04:15","0.0","13.94"
"2019-05-03 04:30","0.0","13.94"
"2019-05-03 04:45","0.0","13.94"
"2019-05-03 05:00","0.0","12.23"
"2019-05-03 05:15","0.0","12.23"
"2019-05-03 05:30","0.0","12.23"
"2019-05-03 05:45","0.0","12.23"
"2019-05-03 06:00","0.0","12.98"
"2019-05-03 06:15","0.0","12.98"
"2019-05-03 06:30","0.0","12.98"
"2019-05-03 06:45","0.4869","12.98"
"2019-05-03 07:00","4.41","12.65"
"2019-05-03 07:15","4.46","12.65"
"2019-05-03 07:30","4.47","12.65"
"2019-05-03 07:45","4.47","12.65"
"2019-05-03 08:00","4.56","14.38"
"2019-05-03 08:15","4.59","14.38"
"2019-05-03 08:30","4.54","14.38"
"2019-05-03 08:45","4.52","14.38"
"2019-05-03 09:00","4.32","15.4"
"2019-05-03 09:15","4.27","15.4"
"2019-05-03 09:30","4.29","15.4"
"2019-05-03 09:45","4.31","15.4"
"2019-05-03 10:00","4.11","17.73"
"2019-05-03 10:15","4.53","17.73"
"2019-05-03 10:30","4.56","17.73"
"2019-05-03 10:45","4.6","17.73"
"2019-05-03 11:00","4.64","21.45"
"2019-05-03 11:15","4.76","21.45"
"2019-05-03 11:30","4.6","21.45"
"2019-05-03 11:45","4.81","21.45"
"2019-05-03 12:00","4.87","23.98"
"2019-05-03 12:15","4.86","23.98"
"2019-05-03 12:30","4.74","23.98"
"2019-05-03 12:45","4.8","23.98"
"2019-05-03 13:00","4.7","25.91"
"2019-05-03 13:15","4.71","25.91"
"2019-05-03 13:30","4.7","25.91"
"2019-05-03 13:45","4.71","25.91"
"2019-05-03 14:00","4.73","26.97"
"2019-05-03 14:15","4.72","26.97"
"2019-05-03 14:30","4.85","26.97"
"2019-05-03 14:45","4.73","26.97"
"2019-05-03 15:00","4.73","27.74"
"2019-05-03 15:15","4.69","27.74"
"2019-05-03 15:30","4.67","27.74"
"2019-05-03 15:45","4.65","27.74"
"2019-05-03 16:00","4.8","26.0"
"2019-05-03 16:15","4.68","26.0"
"2019-05-03 16:30","4.81","26.0"
"2019-05-03 16:45","4.74","26.0"
"2019-05-03 17:00","4.63","26.92"
"2019-05-03 17:15","4.56","26.92"
"2019-05-03 17:30","4.46","26.92"
"2019-05-03 17:45","4.64","26.92"
"2019-05-03 18:00","4.31","24.48"
"2019-05-03 18:15","4.28","24.48"
"2019-05-03 18:30","4.32","24.48"
"2019-05-03 18:45","4.23","24.48"
"2019-05-03 19:00","4.32","23.46"
"2019-05-03 19:15","4.37","23.46"
"2019-05-03 19:30","4.34","23.46"
"2019-05-03 19:45","4.33","23.46"
"2019-05-03 20:00","4.33","24.31"
"2019-05-03 20:15","4.36","24.31"
"2019-05-03 20:30","4.25","24.31"
"2019-05-03 20:45","1.58","24.31"
"2019-05-03 21:00","1.13","21.49"
"2019-05-03 21:15","1.17","21.49"
"2019-05-03 21:30","1.19","21.49"
"2019-05-03 21:45","0.3499","21.49"
"2019-05-03 22:00","0.0","21.14"
"2019-05-03 22:15","0.0","21.14"
"2019-05-03 22:30","0.0","21.14"
"2019-05-03 22:45","0.0","21.14"
"2019-05-03 23:00","0.0","20.07"
"2019-05-03 23:15","0.0","20.07"
"2019-05-03 23:30","0.0","20.07"
"2019-05-03 23:45","0.0","20.07"
"2019-05-04 00:00","0.0","19.01"
"2019-05-04 00:15","0.0","19.01"
"2019-05-04 00:30","0.0","19.01"
"2019-05-04 00:45","0.0","19.01"
"2019-05-04 01:00","0.0","17.97"
"2019-05-04 01:15","0.0","17.97"
"2019-05-04 01:30","0.0","17.97"
"2019-05-04 01:45","0.0","17.97"
"2019-05-04 02:00","0.0","17.62"
"2019-05-04 02:15","0.0","17.62"
"2019-05-04 02:30","0.0","17.62"
"2019-05-04 02:45","0.0","17.62"
"2019-05-04 03:00","0.0","17.09"
"2019-05-04 03:15","0.0","17.09"
"2019-05-04 03:30","0.0","17.09"
"2019-05-04 03:45","0.0","17.09"
"2019-05-04 04:00","0.0","15.39"
"2019-05-04 04:15","0.0","15.39"
"2019-05-04 04:30","0.0","15.39"
"2019-05-04 04:45","0.0","15.39"
"2019-05-04 05:00","0.0","14.67"
"2019-05-04 05:15","0.0","14.67"
"2019-05-04 05:30","0.0","14.67"
"2019-05-04 05:45","0.0","14.67"
"2019-05-04 06:00","0.0","14.01"
"2019-05-04 06:15","0.0","14.01"
"2019-05-04 06:30","0.0","14.01"
"2019-05-04 06:45","0.0","14.01"
"2019-05-04 07:00","0.0","13.33"
"2019-05-04 07:15","0.0","13.33"
"2019-05-04 07:30","0.0","13.33"
"2019-05-04 07:45","0.0","13.33"
"2019-05-04 08:00","0.0","15.06"
"2019-05-04 08:15","0.0","15.06"
"2019-05-04 08:30","3.52","15.06"
"2019-05-04 08:45","4.26","15.06"
"2019-05-04 09:00","4.16","16.41"
"2019-05-04 09:15","4.31","16.41"
"2019-05-04 09:30","4.21","16.41"
"2019-05-04 09:45","4.21","16.41"
"2019-05-04 10:00","4.2","20.04"
"2019-05-04 10:15","4.65","20.04"
"2019-05-04 10:30","4.73","20.04"
"2019-05-04 10:45","4.85","20.04"
"2019-05-04 11:00","4.86","21.36"
"2019-05-04 11:15","4.86","21.36"
"2019-05-04 11:30","4.83","21.36"
"2019-05-04 11:45","4.78","21.36"
"2019-05-04 12:00","4.91","24.79"
"2019-05-04 12:15","4.84","24.79"
"2019-05-04 12:30","4.71","24.79"
"2019-05-04 12:45","4.67","24.79"
"2019-05-04 13:00","4.65","25.41"
"2019-05-04 13:15","4.57","25.41"
"2019-05-04 13:30","4.52","25.41"
"2019-05-04 13:45","4.58","25.41"
"2019-05-04 14:00","4.7","27.27"
"2019-05-04 14:15","4.87","27.27"
"2019-05-04 14:30","4.81","27.27"
"2019-05-04 14:45","4.83","27.27"
"2019-05-04 15:00","4.78","27.98"
"2019-05-04 15:15","4.82","27.98"
"2019-05-04 15:30","4.84","27.98"
"2019-05-04 15:45","4.77","27.98"
"2019-05-04 16:00","4.77","27.78"
"2019-05-04 16:15","4.81","27.78"
"2019-05-04 16:30","4.67","27.78"
"2019-05-04 16:45","4.74","27.78"
"2019-05-04 17:00","4.88","26.99"
"2019-05-04 17:15","4.75","26.99"
"2019-05-04 17:30","4.72","26.99"
"2019-05-04 17:45","4.74","26.99"
"2019-05-04 18:00","4.39","26.66"
"2019-05-04 18:15","4.34","26.66"
"2019-05-04 18:30","4.37","26.66"
"2019-05-04 18:45","4.35","26.66"
"2019-05-04 19:00","4.41","25.93"
"2019-05-04 19:15","4.51","25.93"
"2019-05-04 19:30","4.46","25.93"
"2019-05-04 19:45","4.53","25.93"
"2019-05-04 20:00","4.5","25.23"
"2019-05-04 20:15","4.38","25.23"
"2019-05-04 20:30","3.89","25.23"
"2019-05-04 20:45","4.28","25.23"
"2019-05-04 21:00","3.73","20.38"
"2019-05-04 21:15","0.2275","20.38"
"2019-05-04 21:30","0.0","20.38"
"2019-05-04 21:45","0.0","20.38"
"2019-05-04 22:00","0.0","20.11"
"2019-05-04 22:15","0.0","20.11"
"2019-05-04 22:30","0.0","20.11"
"2019-05-04 22:45","0.0","20.11"
"2019-05-04 23:00","0.0","19.28"
"2019-05-04 23:15","0.0","19.28"
"2019-05-04 23:30","0.0","19.28"
"2019-05-04 23:45","0.0","19.28"
"2019-05-05 00:00","0.0","18.59"
"2019-05-05 00:15","0.0","18.59"
"2019-05-05 00:30","0.0","18.59"
"2019-05-05 00:45","0.0","18.59"
"2019-05-05 01:00","0.0","17.54"
"2019-05-05 01:15","0.0","17.54"
"2019-05-05 01:30","0.0","17.54"
"2019-05-05 01:45","0.0","17.54"
"2019-05-05 02:00","0.0","16.83"
"2019-05-05 02:15","0.0","16.83"
"2019-05-05 02:30","0.0","16.83"
"2019-05-05 02:45","0.0","16.83"
"2019-05-05 03:00","0.0","16.79"
"2019-05-05 03:15","0.0","16.79"
"2019-05-05 03:30","0.0","16.79"
"2019-05-05 03:45","0.0","16.79"
"2019-05-05 04:00","0.0","16.81"
"2019-05-05 04:15","0.0","16.81"
"2019-05-05 04:30","0.0","16.81"
"2019-05-05 04:45","0.0","16.81"
"2019-05-05 05:00","0.0","15.4"
"2019-05-05 05:15","0.0","15.4"
"2019-05-05 05:30","0.0","15.4"
"2019-05-05 05:45","0.0","15.4"
"2019-05-05 06:00","0.0","15.07"
"2019-05-05 06:15","0.0","15.07"
"2019-05-05 06:30","0.0","15.07"
"2019-05-05 06:45","0.0","15.07"
"2019-05-05 07:00","0.0","14.02"
"2019-05-05 07:15","0.0","14.02"
"2019-05-05 07:30","0.0","14.02"
"2019-05-05 07:45","0.0","14.02"
"2019-05-05 08:00","0.0","15.73"
"2019-05-05 08:15","0.9176","15.73"
"2019-05-05 08:30","2.4","15.73"
"2019-05-05 08:45","2.3","15.73"
"2019-05-05 09:00","2.35","16.18"
"2019-05-05 09:15","2.93","16.18"
"2019-05-05 09:30","3.82","16.18"
"2019-05-05 09:45","3.76","16.18"
"2019-05-05 10:00","3.79","18.89"
"2019-05-05 10:15","3.77","18.89"
"2019-05-05 10:30","3.92","18.89"
"2019-05-05 10:45","3.88","18.89"
"2019-05-05 11:00","3.88","21.49"
"2019-05-05 11:15","3.91","21.49"
"2019-05-05 11:30","3.83","21.49"
"2019-05-05 11:45","4.08","21.49"
"2019-05-05 12:00","4.09","23.28"
"2019-05-05 12:15","4.28","23.28"
"2019-05-05 12:30","4.36","23.28"
"2019-05-05 12:45","4.29","23.28"
"2019-05-05 13:00","4.21","25.69"
"2019-05-05 13:15","4.25","25.69"
"2019-05-05 13:30","4.1","25.69"
"2019-05-05 13:45","4.14","25.69"
"2019-05-05 14:00","4.18","26.97"
"2019-05-05 14:15","4.19","26.97"
"2019-05-05 14:30","4.14","26.97"
"2019-05-05 14:45","4.1","26.97"
"2019-05-05 15:00","4.16","27.72"
"2019-05-05 15:15","4.16","27.72"
"2019-05-05 15:30","4.22","27.72"
"2019-05-05 15:45","4.34","27.72"
"2019-05-05 16:00","4.36","27.07"
"2019-05-05 16:15","4.28","27.07"
"2019-05-05 16:30","4.43","27.07"
"2019-05-05 16:45","4.75","27.07"
"2019-05-05 17:00","5.04","26.11"
"2019-05-05 17:15","4.92","26.11"
"2019-05-05 17:30","4.96","26.11"
"2019-05-05 17:45","4.91","26.11"
"2019-05-05 18:00","4.58","23.85"
"2019-05-05 18:15","4.52","23.85"
"2019-05-05 18:30","4.45","23.85"
"2019-05-05 18:45","4.51","23.85"
"2019-05-05 19:00","4.48","21.88"
"2019-05-05 19:15","4.56","21.88"
"2019-05-05 19:30","4.49","21.88"
"2019-05-05 19:45","4.33","21.88"
"2019-05-05 20:00","4.43","25.12"
"2019-05-05 20:15","4.51","25.12"
"2019-05-05 20:30","4.42","25.12"
"2019-05-05 20:45","4.4","25.12"
"2019-05-05 21:00","4.33","20.86"
"2019-05-05 21:15","3.85","20.86"
"2019-05-05 21:30","0.0","20.86"
"2019-05-05 21:45","0.0","20.86"
"2019-05-05 22:00","0.0","19.63"
"2019-05-05 22:15","0.0","19.63"
"2019-05-05 22:30","0.0","19.63"
"2019-05-05 22:45","0.0","19.63"
"2019-05-05 23:00","0.0","18.91"
"2019-05-05 23:15","0.0","18.91"
"2019-05-05 23:30","0.0","18.91"
"2019-05-05 23:45","0.0","18.91"
"2019-05-06 00:00","0.0","17.12"
"2019-05-06 00:15","0.0","17.12"
"2019-05-06 00:30","0.0","17.12"
"2019-05-06 00:45","0.0","17.12"
"2019-05-06 01:00","0.0","16.79"
"2019-05-06 01:15","0.0","16.79"
"2019-05-06 01:30","0.0","16.79"
"2019-05-06 01:45","0.0","16.79"
"2019-05-06 02:00","0.0","15.74"
"2019-05-06 02:15","0.0","15.74"
"2019-05-06 02:30","0.0","15.74"
"2019-05-06 02:45","0.0","15.74"
"2019-05-06 03:00","0.0","15.07"
"2019-05-06 03:15","0.0","15.07"
"2019-05-06 03:30","0.0","15.07"
"2019-05-06 03:45","0.0","15.07"
"2019-05-06 04:00","0.0","14.39"
"2019-05-06 04:15","0.0","14.39"
"2019-05-06 04:30","0.0","14.39"
"2019-05-06 04:45","0.0","14.39"
"2019-05-06 05:00","0.0","12.97"
"2019-05-06 05:15","0.0","12.97"
"2019-05-06 05:30","0.0","12.97"
"2019-05-06 05:45","0.0","12.97"
"2019-05-06 06:00","0.0","12.08"
"2019-05-06 06:15","0.0","12.08"
"2019-05-06 06:30","0.0","12.08"
"2019-05-06 06:45","2.0","12.08"
"2019-05-06 07:00","2.23","12.11"
"2019-05-06 07:15","2.27","12.11"
"2019-05-06 07:30","3.66","12.11"
"2019-05-06 07:45","3.62","12.11"
"2019-05-06 08:00","3.61","14.28"
"2019-05-06 08:15","3.61","14.28"
"2019-05-06 08:30","3.93","14.28"
"2019-05-06 08:45","3.78","14.28"
"2019-05-06 09:00","3.91","15.85"
"2019-05-06 09:15","3.85","15.85"
"2019-05-06 09:30","3.75","15.85"
"2019-05-06 09:45","3.84","15.85"
"2019-05-06 10:00","3.73","18.95"
"2019-05-06 10:15","3.87","18.95"
"2019-05-06 10:30","4.03","18.95"
"2019-05-06 10:45","4.01","18.95"
"2019-05-06 11:00","3.91","18.7"
"2019-05-06 11:15","4.0","18.7"
"2019-05-06 11:30","3.7","18.7"
"2019-05-06 11:45","3.86","18.7"
"2019-05-06 12:00","3.94","23.45"
"2019-05-06 12:15","3.94","23.45"
"2019-05-06 12:30","3.99","23.45"
"2019-05-06 12:45","4.2","23.45"
"2019-05-06 13:00","4.33","24.92"
"2019-05-06 13:15","4.31","24.92"
"2019-05-06 13:30","4.34","24.92"
"2019-05-06 13:45","4.23","24.92"
"2019-05-06 14:00","4.28","26.21"
"2019-05-06 14:15","4.23","26.21"
"2019-05-06 14:30","4.24","26.21"
"2019-05-06 14:45","4.28","26.21"
"2019-05-06 15:00","4.29","27.0"
"2019-05-06 15:15","4.21","27.0"
"2019-05-06 15:30","4.26","27.0"
"2019-05-06 15:45","4.18","27.0"
"2019-05-06 16:00","4.15","27.53"
"2019-05-06 16:15","4.32","27.53"
"2019-05-06 16:30","4.27","27.53"
"2019-05-06 16:45","4.3","27.53"
"2019-05-06 17:00","4.29","27.28"
"2019-05-06 17:15","4.32","27.28"
"2019-05-06 17:30","4.25","27.28"
"2019-05-06 17:45","4.27","27.28"
"2019-05-06 18:00","4.06","26.24"
"2019-05-06 18:15","4.04","26.24"
"2019-05-06 18:30","3.89","26.24"
"2019-05-06 18:45","4.0","26.24"
"2019-05-06 19:00","4.03","24.97"
"2019-05-06 19:15","4.01","24.97"
"2019-05-06 19:30","3.88","24.97"
"2019-05-06 19:45","3.77","24.97"
"2019-05-06 20:00","3.37","24.77"
"2019-05-06 20:15","3.43","24.77"
"2019-05-06 20:30","3.2","24.77"
"2019-05-06 20:45","0.8075","24.77"
"2019-05-06 21:00","0.8016","21.17"
"2019-05-06 21:15","0.7931","21.17"
"2019-05-06 21:30","0.796","21.17"
"2019-05-06 21:45","0.7802","21.17"
"2019-05-06 22:00","0.7912","19.77"
"2019-05-06 22:15","0.208","19.77"
"2019-05-06 22:30","0.0","19.77"
"2019-05-06 22:45","0.0","19.77"
"2019-05-06 23:00","0.0","18.4"
"2019-05-06 23:15","0.0","18.4"
"2019-05-06 23:30","0.0","18.4"
"2019-05-06 23:45","0.0","18.4"
"2019-05-07 00:00","0.0","17.85"
"2019-05-07 00:15","0.0","17.85"
"2019-05-07 00:30","0.0","17.85"
"2019-05-07 00:45","0.0","17.85"
"2019-05-07 01:00","0.0","16.83"
"2019-05-07 01:15","0.0","16.83"
"2019-05-07 01:30","0.0","16.83"
"2019-05-07 01:45","0.0","16.83"
"2019-05-07 02:00","0.0","15.8"
"2019-05-07 02:15","0.0","15.8"
"2019-05-07 02:30","0.0","15.8"
"2019-05-07 02:45","0.0","15.8"
"2019-05-07 03:00","0.0","15.08"
"2019-05-07 03:15","0.0","15.08"
"2019-05-07 03:30","0.0","15.08"
"2019-05-07 03:45","0.0","15.08"
